Facility Class,Facility Location,Facility Code,Facility,Status,Reservation Type,BeginTime,EndTime,Begin Date,End Date,Headcount
BDEF,CARN,CAREF,Entire Facility,Firm,Facility, 9:00am,12:30pm,1/6/2013,1/6/2013,100
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 5:00pm,11:00pm,1/6/2013,1/6/2013,100
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 5:30pm, 6:25pm,1/7/2013,1/7/2013,0
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 5:30pm, 6:25pm,1/9/2013,1/9/2013,0
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 7:00pm, 8:15pm,1/9/2013,1/9/2013,0
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 6:00pm, 7:15pm,1/10/2013,1/10/2013,0
BDEF,CARN,CAREF,Entire Facility,Firm,Facility, 9:00am,12:30pm,1/13/2013,1/13/2013,100
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 5:30pm, 6:25pm,1/14/2013,1/14/2013,0
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 6:30pm, 8:00pm,1/14/2013,1/14/2013,0
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 5:30pm, 6:25pm,1/16/2013,1/16/2013,0
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 7:00pm, 8:15pm,1/16/2013,1/16/2013,0
BDCON,CARN,CONF,Conference Room,Firm,Facility, 9:00am,10:00am,1/17/2013,1/17/2013,10
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 6:00pm, 7:15pm,1/17/2013,1/17/2013,0
BDEF,CARN,CAREF,Entire Facility,Firm,Facility, 4:00pm,12:00am,1/18/2013,1/18/2013,100
BDEF,CARN,CAREF,Entire Facility,Firm,Facility, 9:00am,12:30pm,1/20/2013,1/20/2013,100
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 5:30pm, 6:25pm,1/21/2013,1/21/2013,0
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 6:30pm, 8:00pm,1/21/2013,1/21/2013,0
BDCON,CARN,CONF,Conference Room,Firm,Activity, 7:00pm, 8:00pm,1/21/2013,1/21/2013,0
BDCON,CARN,CONF,Conference Room,Firm,Facility, 9:00am,12:30pm,1/22/2013,1/22/2013,10
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 5:30pm, 6:25pm,1/23/2013,1/23/2013,0
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 7:00pm, 8:15pm,1/23/2013,1/23/2013,0
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 6:00pm, 7:15pm,1/24/2013,1/24/2013,0
BDEF,CARN,CAREF,Entire Facility,Firm,Facility, 9:00am,12:30pm,1/27/2013,1/27/2013,100
BDCON,CARN,CONF,Conference Room,Firm,Facility, 2:00pm, 4:00pm,1/28/2013,1/28/2013,10
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 5:30pm, 6:25pm,1/28/2013,1/28/2013,0
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 6:30pm, 8:00pm,1/28/2013,1/28/2013,0
BDCON,CARN,CONF,Conference Room,Firm,Activity, 7:00pm, 8:00pm,1/28/2013,1/28/2013,0
BDCON,CARN,CONF,Conference Room,Firm,Facility, 7:00pm, 9:00pm,1/29/2013,1/29/2013,20
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 7:00pm, 9:00pm,1/29/2013,1/29/2013,20
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 5:30pm, 6:25pm,1/30/2013,1/30/2013,0
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 7:00pm, 8:15pm,1/30/2013,1/30/2013,0
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 6:00pm, 7:15pm,1/31/2013,1/31/2013,0
BDEF,CARN,CAREF,Entire Facility,Firm,Facility, 9:00am,12:30pm,2/3/2013,2/3/2013,100
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 8:30am, 5:00pm,2/4/2013,2/4/2013,1
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 5:30pm, 6:25pm,2/4/2013,2/4/2013,0
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 6:30pm, 8:00pm,2/4/2013,2/4/2013,0
BDCON,CARN,CONF,Conference Room,Firm,Activity, 7:00pm, 8:00pm,2/4/2013,2/4/2013,0
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 5:30pm, 6:25pm,2/6/2013,2/6/2013,0
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 7:00pm, 8:15pm,2/6/2013,2/6/2013,0
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 6:00pm, 7:15pm,2/7/2013,2/7/2013,0
BDEF,CARN,CAREF,Entire Facility,Firm,Facility, 9:00am,12:30pm,2/10/2013,2/10/2013,100
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 5:30pm, 6:25pm,2/11/2013,2/11/2013,0
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 6:30pm, 8:00pm,2/11/2013,2/11/2013,0
BDCON,CARN,CONF,Conference Room,Firm,Activity, 7:00pm, 8:00pm,2/11/2013,2/11/2013,0
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 5:30pm, 6:25pm,2/13/2013,2/13/2013,0
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 7:00pm, 8:15pm,2/13/2013,2/13/2013,0
BDCON,CARN,CONF,Conference Room,Firm,Facility, 8:00am,10:00am,2/14/2013,2/14/2013,10
BDMUL,CARN,EGAL,East Gallery Room,Firm,Facility, 8:00am, 4:00pm,2/14/2013,2/14/2013,15
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 6:00pm, 7:15pm,2/14/2013,2/14/2013,0
